observation_date,DTCTLVENANM
2008-03-01,25041.08
2008-04-01,
2008-05-01,
2008-06-01,23623.28
2008-07-01,
2008-08-01,
2008-09-01,24759.34
2008-10-01,
2008-11-01,
2008-12-01,24843.26
2009-01-01,
2009-02-01,
2009-03-01,25088.65
2009-04-01,
2009-05-01,
2009-06-01,25657.32
2009-07-01,
2009-08-01,
2009-09-01,24009.70
2009-10-01,
2009-11-01,
2009-12-01,26547.94
2010-01-01,
2010-02-01,
2010-03-01,25962.78
2010-04-01,
2010-05-01,
2010-06-01,25463.91
2010-07-01,
2010-08-01,
2010-09-01,25219.03
2010-10-01,
2010-11-01,
2010-12-01,25261.78
2011-01-01,
2011-02-01,
2011-03-01,25082.26
2011-04-01,
2011-05-01,
2011-06-01,24718.03
2011-07-01,
2011-08-01,
2011-09-01,25191.12
2011-10-01,
2011-11-01,
2011-12-01,25492.56
2012-01-01,
2012-02-01,
2012-03-01,25430.34
2012-04-01,
2012-05-01,
2012-06-01,25003.33
2012-07-01,
2012-08-01,
2012-09-01,25086.70
2012-10-01,
2012-11-01,
2012-12-01,25842.76
2013-01-01,
2013-02-01,
2013-03-01,25609.04
2013-04-01,
2013-05-01,
2013-06-01,25394.52
2013-07-01,
2013-08-01,
2013-09-01,25389.92
2013-10-01,
2013-11-01,
2013-12-01,25951.03
2014-01-01,
2014-02-01,
2014-03-01,26186.90
2014-04-01,
2014-05-01,
2014-06-01,25839.92
2014-07-01,
2014-08-01,
2014-09-01,26370.63
2014-10-01,
2014-11-01,
2014-12-01,26755.30
2015-01-01,
2015-02-01,
2015-03-01,27272.36
2015-04-01,
2015-05-01,
2015-06-01,26932.27
2015-07-01,
2015-08-01,
2015-09-01,27697.60
2015-10-01,
2015-11-01,
2015-12-01,27986.15
2016-01-01,
2016-02-01,
2016-03-01,28140.06
2016-04-01,
2016-05-01,
2016-06-01,28126.64
2016-07-01,
2016-08-01,
2016-09-01,28667.30
2016-10-01,
2016-11-01,
2016-12-01,29468.55
2017-01-01,
2017-02-01,
2017-03-01,29133.85
2017-04-01,
2017-05-01,
2017-06-01,28569.47
2017-07-01,
2017-08-01,
2017-09-01,29153.73
2017-10-01,
2017-11-01,
2017-12-01,30294.94
2018-01-01,
2018-02-01,
2018-03-01,30471.66
2018-04-01,
2018-05-01,
2018-06-01,29805.20
2018-07-01,
2018-08-01,
2018-09-01,29921.27
2018-10-01,
2018-11-01,
2018-12-01,30493.73
2019-01-01,
2019-02-01,
2019-03-01,30865.42
2019-04-01,
2019-05-01,
2019-06-01,31170.60
2019-07-01,
2019-08-01,
2019-09-01,31514.06
2019-10-01,
2019-11-01,
2019-12-01,31692.14
2020-01-01,
2020-02-01,
2020-03-01,32723.94
2020-04-01,
2020-05-01,
2020-06-01,36674.90
2020-07-01,
2020-08-01,
2020-09-01,34660.26
2020-10-01,
2020-11-01,
2020-12-01,33738.23
2021-01-01,
2021-02-01,
2021-03-01,34207.35
2021-04-01,
2021-05-01,
2021-06-01,33914.94
2021-07-01,
2021-08-01,
2021-09-01,35283.89
2021-10-01,
2021-11-01,
2021-12-01,37820.76
2022-01-01,
2022-02-01,
2022-03-01,37991.37
2022-04-01,
2022-05-01,
2022-06-01,38044.46
2022-07-01,
2022-08-01,
2022-09-01,40155.68
2022-10-01,
2022-11-01,
2022-12-01,39407.02
2023-01-01,
2023-02-01,
2023-03-01,39066.36
2023-04-01,
2023-05-01,
2023-06-01,38689.20
2023-07-01,
2023-08-01,
2023-09-01,38587.53
2023-10-01,
2023-11-01,
2023-12-01,38519.27
2024-01-01,
2024-02-01,
2024-03-01,38803.96
2024-04-01,
2024-05-01,
2024-06-01,39349.72
2024-07-01,
2024-08-01,
2024-09-01,39277.41
2024-10-01,
2024-11-01,
2024-12-01,39979.23
