Average Total cost College (all public and private) - All four year schools: https://www.bestcolleges.com/research/college-costs-over-time/,
year,cost
1968,12219
1969,12501
1970,12668
1971,12868
1972,13379
1973,12686
1974,11907
1975,11975
1976,12382
1977,12270
1978,12011
1979,11505
1980,11393
1981,11840
1982,12660
1983,13154
1984,13760
1985,14265
1986,15121
1987,15270
1988,15651
1989,16018
1990,16009
1991,16810
1992,17329
1993,17931
1994,18241
1995,18856
1996,19240
1997,19664
1998,20377
1999,20572
2000,20815
2001,21587
2002,22361
2003,23499
2004,24290
2005,24733
2006,25521
2007,25797
2008,26751
2009,27490
2010,28158
2011,28518
2012,29099
2013,29648
2014,30277
2015,30931
2016,30907
2017,31094
2018,31314
2019,31548
2020,31111
2021,30031
2022,30884
2023,30885
2024,30886
